Date/heure;O3;NO2;SO2;PM10
01.01.2000;12.6;38.6;11.7;
02.01.2000;43.3;28.5;6.9;
03.01.2000;56.9;23.6;4.4;
04.01.2000;33.8;45.4;10.2;
05.01.2000;12.8;51.5;12.1;
06.01.2000;17.5;40.9;8.2;
07.01.2000;3.5;42.1;17.7;
08.01.2000;21.3;42.0;14.1;
09.01.2000;15.7;42.7;12.8;
10.01.2000;40.2;34.3;3.1;
11.01.2000;18.1;41.3;5.9;
12.01.2000;24.4;36.5;7.3;
13.01.2000;22.4;43.2;10.6;
14.01.2000;24.0;50.0;9.4;
15.01.2000;17.4;46.3;7.3;
16.01.2000;18.9;42.0;7.5;
17.01.2000;34.9;39.1;13.6;
18.01.2000;46.1;20.6;4.1;
19.01.2000;55.4;45.2;6.9;
20.01.2000;51.8;37.2;10.9;
21.01.2000;59.5;15.3;4.5;
22.01.2000;67.0;13.7;3.2;
23.01.2000;58.8;15.5;3.1;
24.01.2000;51.4;31.8;9.8;
25.01.2000;54.8;43.6;16.1;
26.01.2000;28.5;55.5;13.9;
27.01.2000;22.2;71.2;20.0;
28.01.2000;16.5;74.4;24.8;
29.01.2000;86.7;17.0;5.7;
30.01.2000;80.1;12.9;2.6;
31.01.2000;80.4;24.2;4.1;
01.02.2000;9.7;46.7;12.7;
02.02.2000;30.8;43.8;12.3;
03.02.2000;76.0;23.9;5.2;
04.02.2000;33.7;53.6;13.7;
05.02.2000;60.4;50.6;15.9;
06.02.2000;39.8;51.6;17.0;
07.02.2000;81.6;28.1;10.7;
08.02.2000;86.0;13.5;2.2;
09.02.2000;86.3;12.3;1.8;
10.02.2000;59.2;41.2;9.1;
11.02.2000;56.1;43.9;5.9;
12.02.2000;56.3;29.4;5.2;
13.02.2000;72.6;27.8;6.5;
14.02.2000;62.2;33.5;6.1;
15.02.2000;80.0;32.5;5.6;
16.02.2000;88.0;11.2;1.6;
17.02.2000;79.5;14.5;1.8;
18.02.2000;73.2;37.8;6.9;
19.02.2000;85.7;10.5;1.3;
20.02.2000;63.4;18.1;2.5;
21.02.2000;63.8;42.4;10.4;
22.02.2000;68.2;50.7;12.4;
