Date/heure;O3;NO2;CO;PM10
01.01.2000;22.4;50.2;1.58;
02.01.2000;25.0;38.2;1.05;
03.01.2000;41.4;44.1;1.27;
04.01.2000;18.1;47.7;1.49;
05.01.2000;15.0;54.0;1.84;
06.01.2000;11.0;43.9;1.55;
07.01.2000;11.9;51.2;1.71;
08.01.2000;14.7;50.7;1.74;
09.01.2000;17.3;48.9;1.67;
10.01.2000;6.3;41.7;1.31;
11.01.2000;3.5;39.9;1.12;
12.01.2000;13.5;44.2;1.65;
13.01.2000;11.7;55.1;1.97;
14.01.2000;20.0;57.1;1.59;
15.01.2000;10.7;53.4;1.39;
16.01.2000;31.4;42.9;1.13;
17.01.2000;13.5;58.8;2.20;
18.01.2000;19.1;53.7;1.59;
19.01.2000;26.3;58.5;1.35;
20.01.2000;24.3;60.6;1.85;
21.01.2000;16.8;62.7;1.91;
22.01.2000;34.5;41.6;1.04;
23.01.2000;45.9;31.8;0.66;
24.01.2000;40.3;41.4;0.71;
25.01.2000;37.2;54.6;1.03;
26.01.2000;14.0;72.9;1.75;
27.01.2000;25.9;70.2;1.75;
28.01.2000;11.0;76.4;2.21;
29.01.2000;51.3;54.3;1.34;
30.01.2000;64.1;23.1;0.47;
31.01.2000;61.7;47.3;1.87;
01.02.2000;14.7;48.2;2.20;
02.02.2000;4.5;52.0;2.25;
03.02.2000;24.5;57.8;2.05;
04.02.2000;36.6;54.0;2.02;
05.02.2000;36.6;54.4;1.70;
06.02.2000;13.5;51.6;2.25;
07.02.2000;38.9;48.4;1.03;
08.02.2000;57.6;43.0;0.80;
09.02.2000;68.6;40.1;0.73;
10.02.2000;47.1;51.5;1.37;
11.02.2000;17.3;52.3;1.22;
12.02.2000;44.9;35.3;0.78;
13.02.2000;31.2;42.5;1.18;
14.02.2000;48.2;44.9;1.26;
15.02.2000;34.0;53.4;1.20;
16.02.2000;68.5;37.7;0.61;
17.02.2000;54.9;45.3;0.78;
18.02.2000;44.2;56.1;1.50;
19.02.2000;63.9;28.7;0.58;
20.02.2000;50.4;30.8;0.85;
21.02.2000;32.5;59.8;1.42;
22.02.2000;39.3;63.5;1.59;
23.02.2000;46.1;64.8;1.61;
24.02.2000;28.8;68.9;1.65;
25.02.2000;30.8;53.8;1.54;
26.02.2000;44.0;44.6;1.68;
27.02.2000;56.5;42.1;1.34;
28.02.2000;54.5;50.3;0.98;
29.02.2000;64.4;47.5;0.72;
01.03.2000;75.1;41.1;0.71;
02.03.2000;64.9;36.2;0.61;
03.03.2000;57.5;39.9;0.63;
04.03.2000;76.2;23.6;0.44;
05.03.2000;71.8;39.8;0.77;
06.03.2000;58.0;60.2;1.23;
07.03.2000;64.6;62.2;1.43;
08.03.2000;53.6;66.7;1.63;
09.03.2000;45.3;51.3;1.06;
10.03.2000;49.0;46.1;1.07;
11.03.2000;50.8;33.7;0.96;
12.03.2000;65.6;28.2;0.50;
13.03.2000;59.5;56.2;1.21;
14.03.2000;66.7;46.9;1.05;
15.03.2000;55.3;54.6;1.00;
16.03.2000;15.3;60.5;1.51;
17.03.2000;13.8;55.1;1.74;
18.03.2000;23.5;44.2;1.17;
19.03.2000;39.8;30.1;0.66;
20.03.2000;58.8;48.8;0.82;
21.03.2000;66.6;64.5;1.41;
22.03.2000;57.9;74.3;1.55;
23.03.2000;53.0;69.1;1.43;
24.03.2000;53.9;51.4;1.11;
25.03.2000;80.7;47.0;1.15;
26.03.2000;66.7;33.7;0.73;
27.03.2000;72.1;50.0;0.98;
28.03.2000;38.1;48.3;1.12;
29.03.2000;42.9;38.3;0.79;
30.03.2000;53.5;43.8;0.75;
31.03.2000;92.4;51.7;0.90;
01.04.2000;87.1;38.2;0.86;
02.04.2000;81.8;43.5;1.05;
