Date/heure;O3;NO2;SO2;CO;PM10
01.01.2000;31.7;39.0;20.2;0.88;
02.01.2000;35.0;29.6;5.9;0.69;
03.01.2000;40.2;45.3;6.6;0.63;
04.01.2000;16.3;53.0;7.0;0.72;
05.01.2000;11.1;55.3;12.1;1.03;
06.01.2000;8.4;48.1;5.6;0.75;
07.01.2000;9.1;44.0;10.4;1.00;
08.01.2000;14.5;37.5;5.8;0.99;55.6
09.01.2000;3.0;33.6;6.9;1.04;61.7
10.01.2000;17.0;40.6;4.9;0.63;20.3
11.01.2000;16.5;34.8;4.5;0.56;24.9
12.01.2000;19.1;33.8;4.6;0.60;40.6
13.01.2000;21.5;47.5;6.6;0.90;59.9
14.01.2000;11.6;45.2;4.5;0.95;69.3
15.01.2000;26.1;42.2;3.7;0.64;60.4
16.01.2000;34.0;22.9;4.0;0.46;50.1
17.01.2000;24.8;51.8;9.3;0.86;55.7
18.01.2000;53.9;47.8;21.0;0.62;34.6
19.01.2000;57.5;35.4;4.3;0.44;27.2
20.01.2000;37.7;48.6;7.7;0.73;35.6
21.01.2000;19.1;50.2;11.7;0.69;52.5
22.01.2000;41.7;33.6;10.0;0.57;36.7
23.01.2000;44.3;25.4;8.6;0.48;19.2
24.01.2000;63.7;21.3;6.0;0.39;25.1
25.01.2000;55.5;38.1;10.6;0.68;47.4
26.01.2000;17.4;69.7;15.1;1.14;82.4
27.01.2000;15.2;73.5;13.0;1.27;89.0
28.01.2000;9.3;74.9;16.0;1.13;91.5
29.01.2000;71.6;39.2;7.8;0.56;29.0
30.01.2000;;;;;7.6
31.01.2000;;;;;16.9
01.02.2000;6.8;47.7;12.3;0.78;33.8
02.02.2000;1.1;;10.4;1.16;45.4
03.02.2000;53.0;35.4;4.2;0.52;19.6
04.02.2000;15.9;46.2;8.1;0.91;38.8
05.02.2000;34.2;48.4;8.7;1.12;51.1
06.02.2000;27.7;40.8;9.1;1.21;62.6
07.02.2000;72.8;41.1;9.7;0.64;31.9
08.02.2000;83.8;24.5;4.6;0.28;9.0
09.02.2000;80.5;34.4;2.2;0.33;14.0
10.02.2000;32.2;;8.6;0.61;32.8
11.02.2000;50.5;28.2;4.2;0.40;19.0
12.02.2000;65.0;31.9;4.7;0.61;21.7
13.02.2000;59.9;16.7;7.0;0.38;14.9
14.02.2000;28.8;46.2;9.1;0.71;26.0
15.02.2000;62.5;39.5;6.8;0.46;15.8
16.02.2000;77.6;32.1;3.4;0.31;7.4
17.02.2000;74.0;38.8;4.4;0.37;10.3
18.02.2000;51.5;35.5;3.6;0.40;11.5
19.02.2000;78.3;24.5;2.9;0.39;8.6
20.02.2000;64.1;18.2;1.5;0.39;9.9
21.02.2000;55.4;43.7;4.3;0.66;25.8
22.02.2000;68.6;48.2;6.5;0.87;36.7
23.02.2000;56.0;54.2;6.9;0.84;43.5
