Date/heure;O3;NO2;SO2;CO;PM10
01.01.2000;74.0;0.1;;;
02.01.2000;67.8;0.1;;;
03.01.2000;67.7;0.1;;;
04.01.2000;73.5;0.1;;;
05.01.2000;74.0;0.1;;;
06.01.2000;71.0;0.1;;;
07.01.2000;60.9;0.1;;;
08.01.2000;86.1;0.1;;;
09.01.2000;75.2;0.1;;;
10.01.2000;61.9;0.1;;;
11.01.2000;91.0;0.1;;;
12.01.2000;104.4;;;;
13.01.2000;72.0;;;;
14.01.2000;71.7;;;;
15.01.2000;70.9;0.2;;;
16.01.2000;77.5;0.1;;;
17.01.2000;77.0;0.1;;;
18.01.2000;63.4;0.6;;;
19.01.2000;68.3;0.4;;;
20.01.2000;72.6;;;;
21.01.2000;72.2;;;;
22.01.2000;76.8;;;;
23.01.2000;57.4;;;;
24.01.2000;74.0;;;;
25.01.2000;73.9;0.1;;;
26.01.2000;77.8;0.1;;;
27.01.2000;76.3;0.1;;;
28.01.2000;80.5;0.1;;;
29.01.2000;81.4;0.1;;;
30.01.2000;75.8;0.1;;;
31.01.2000;74.1;0.0;;;
01.02.2000;72.8;0.0;;;
02.02.2000;83.3;0.5;;;
03.02.2000;70.4;0.1;;0.12;
04.02.2000;78.4;0.1;;0.11;
05.02.2000;67.8;0.0;;0.11;
06.02.2000;62.8;0.1;;0.10;
07.02.2000;76.5;0.1;;0.11;
08.02.2000;76.6;0.1;;0.10;
09.02.2000;68.4;0.6;;0.12;
10.02.2000;79.0;0.1;;0.11;
11.02.2000;70.0;0.2;;0.10;
12.02.2000;81.9;0.1;;0.12;
13.02.2000;71.8;0.1;;0.11;
14.02.2000;90.1;0.1;;0.13;
15.02.2000;85.1;0.1;;0.11;
16.02.2000;73.9;0.4;;0.11;
17.02.2000;64.5;0.5;;0.13;
18.02.2000;72.6;;;0.11;
19.02.2000;67.1;0.6;;0.13;
20.02.2000;72.1;0.9;;0.16;
21.02.2000;85.1;0.1;;0.10;
22.02.2000;79.6;0.0;;0.09;
23.02.2000;;0.0;;0.11;
24.02.2000;80.9;0.0;;0.10;
25.02.2000;78.0;0.1;;0.08;
26.02.2000;83.5;0.1;;0.08;
27.02.2000;82.5;0.0;;0.10;
28.02.2000;74.1;0.1;;0.10;
29.02.2000;76.3;0.4;;0.14;
01.03.2000;73.5;0.4;;0.15;
02.03.2000;82.7;0.6;;0.15;
03.03.2000;86.5;;;0.11;
04.03.2000;75.0;;;0.14;
05.03.2000;76.3;;;0.13;
06.03.2000;71.8;0.0;;0.10;
07.03.2000;76.1;0.0;;0.10;
08.03.2000;79.4;0.0;;0.10;
09.03.2000;76.8;;;0.11;
10.03.2000;78.4;0.1;;0.10;
11.03.2000;89.9;;;0.11;
12.03.2000;94.9;0.1;;0.12;
13.03.2000;93.1;0.2;;0.12;
14.03.2000;81.2;0.1;;0.10;
15.03.2000;83.6;0.5;;0.13;
16.03.2000;81.6;0.1;;0.13;
17.03.2000;71.6;0.2;;0.12;
18.03.2000;58.3;0.9;;0.12;
19.03.2000;103.3;0.3;;0.12;
20.03.2000;87.2;0.1;;0.13;
21.03.2000;91.0;0.0;;0.14;
22.03.2000;83.2;0.1;;0.12;
23.03.2000;80.5;0.0;;0.11;
24.03.2000;92.3;0.3;;0.14;
25.03.2000;87.6;0.3;;0.14;
26.03.2000;87.9;0.4;;0.15;
27.03.2000;75.1;0.4;;0.14;
28.03.2000;81.3;;;0.16;
29.03.2000;90.5;;;0.17;
30.03.2000;;;;0.19;
31.03.2000;92.9;;;0.21;
01.04.2000;102.6;;;0.21;
02.04.2000;102.6;0.3;;0.19;
03.04.2000;89.2;1.2;;0.23;
04.04.2000;82.5;1.0;;0.20;
05.04.2000;82.9;;;0.36;
06.04.2000;98.8;;;0.25;
07.04.2000;88.3;;;0.17;
08.04.2000;92.2;;;0.16;
09.04.2000;95.5;0.5;;0.19;
10.04.2000;91.4;0.6;;0.19;
11.04.2000;85.9;;;0.15;
12.04.2000;92.9;;;0.13;
13.04.2000;79.7;;;0.12;
14.04.2000;89.0;;;0.13;
15.04.2000;95.7;0.7;;0.14;
16.04.2000;87.5;0.5;;0.15;
17.04.2000;92.4;0.5;;0.15;
18.04.2000;85.2;0.1;;0.12;
19.04.2000;87.0;;;0.11;
20.04.2000;111.5;;;0.10;
21.04.2000;104.1;;;0.10;
22.04.2000;101.0;0.1;;0.12;
23.04.2000;90.4;0.2;;0.12;
24.04.2000;109.7;0.2;;0.12;
25.04.2000;125.1;;;0.12;
26.04.2000;88.8;0.1;;0.13;
27.04.2000;85.7;0.2;;0.15;
28.04.2000;89.4;0.5;;0.17;
29.04.2000;90.8;0.3;;0.16;
30.04.2000;87.1;0.1;;0.15;
01.05.2000;83.3;0.3;;0.15;
02.05.2000;88.9;0.2;;0.15;
03.05.2000;94.6;0.2;;0.14;
04.05.2000;93.2;0.2;;0.12;
05.05.2000;86.7;0.2;;0.12;
06.05.2000;89.1;0.1;;0.11;
07.05.2000;91.8;0.1;;0.11;
08.05.2000;85.7;0.2;;0.13;
09.05.2000;90.8;0.1;;0.16;
10.05.2000;86.6;0.1;;0.13;
11.05.2000;88.3;0.1;;0.11;
12.05.2000;90.7;0.2;;0.11;
13.05.2000;96.6;0.1;;0.12;
14.05.2000;95.2;0.1;;0.12;
15.05.2000;92.7;0.1;;0.13;
16.05.2000;102.0;0.2;;0.13;
17.05.2000;99.6;0.2;;0.13;
18.05.2000;95.4;0.4;;0.12;
19.05.2000;123.2;0.3;;0.12;
20.05.2000;144.5;0.2;;0.18;
21.05.2000;119.6;0.1;;0.22;
22.05.2000;102.2;0.2;;0.18;
23.05.2000;101.9;0.1;;0.25;
24.05.2000;96.3;0.2;;0.26;
25.05.2000;94.8;0.1;;0.18;
26.05.2000;99.5;0.2;;0.14;
27.05.2000;103.8;0.3;;0.13;
28.05.2000;94.0;0.1;;0.12;
29.05.2000;134.4;0.2;;0.11;
30.05.2000;106.1;0.1;;0.10;
31.05.2000;97.9;0.2;;0.10;
01.06.2000;116.1;0.1;;0.11;
02.06.2000;113.3;0.1;;0.13;
03.06.2000;97.6;0.2;;0.15;
04.06.2000;97.6;0.1;;0.11;
05.06.2000;93.3;0.1;;0.16;
06.06.2000;90.4;0.2;;0.16;
07.06.2000;121.6;0.1;;0.13;
08.06.2000;89.4;0.1;;0.19;
09.06.2000;99.7;0.1;;0.24;
10.06.2000;101.5;0.2;;0.18;
11.06.2000;89.3;0.2;;0.15;
12.06.2000;84.8;0.1;;0.16;
13.06.2000;115.9;0.2;;0.15;
14.06.2000;112.3;0.2;;0.14;
15.06.2000;88.5;;;0.10;
16.06.2000;91.8;0.1;;0.10;
17.06.2000;103.1;0.1;;0.10;
18.06.2000;95.1;0.1;;0.11;
19.06.2000;103.6;0.1;;0.12;
20.06.2000;98.8;0.1;;0.12;
21.06.2000;99.5;0.2;;0.11;
22.06.2000;96.0;0.2;;0.12;
23.06.2000;106.2;0.2;;0.11;
24.06.2000;84.1;0.3;;0.10;
25.06.2000;90.3;0.1;;0.10;
26.06.2000;101.9;0.1;;0.10;
27.06.2000;110.7;0.1;;0.09;
28.06.2000;93.0;0.2;;0.10;
29.06.2000;84.5;0.3;;0.09;
30.06.2000;86.9;0.1;;0.09;
01.07.2000;92.0;0.3;;0.10;
02.07.2000;93.1;0.1;;0.10;
03.07.2000;88.0;0.2;;0.10;
04.07.2000;92.9;0.3;;0.10;
05.07.2000;118.6;0.2;;0.10;
06.07.2000;104.2;0.1;;0.09;
07.07.2000;104.1;0.3;;0.10;
08.07.2000;88.5;0.5;;0.11;
09.07.2000;79.1;0.1;;0.08;
10.07.2000;94.5;0.3;;0.08;
11.07.2000;75.6;0.4;;0.08;
12.07.2000;72.0;0.4;;0.08;
13.07.2000;84.3;0.3;;0.07;
14.07.2000;68.7;0.3;;0.08;
15.07.2000;75.4;0.3;;0.08;
16.07.2000;83.5;0.2;;0.08;
17.07.2000;100.4;0.2;;0.08;
18.07.2000;96.2;0.2;;0.08;
19.07.2000;101.6;0.1;;0.08;
20.07.2000;90.7;;;0.06;
21.07.2000;94.2;;;0.07;
22.07.2000;102.7;;;0.09;
23.07.2000;104.6;;;0.08;
24.07.2000;89.0;;;0.09;
25.07.2000;87.5;;;0.07;
26.07.2000;;;;;
27.07.2000;;;;;
