Date/heure;O3;NO2;CO;PM10
01.01.2000;31.1;51.3;0.95;
02.01.2000;34.8;44.4;0.97;
03.01.2000;37.6;50.8;1.24;
04.01.2000;34.6;60.5;1.41;
05.01.2000;;;1.70;
06.01.2000;;;;
07.01.2000;11.9;58.1;1.45;
08.01.2000;14.3;60.6;1.31;
09.01.2000;19.6;61.2;1.22;
10.01.2000;13.9;42.0;0.94;
11.01.2000;13.8;36.6;0.78;
12.01.2000;17.8;47.7;1.25;
13.01.2000;22.5;56.3;1.52;
14.01.2000;26.6;62.8;1.69;
15.01.2000;15.3;53.7;1.35;
16.01.2000;35.8;33.9;0.61;
17.01.2000;30.0;49.6;1.58;
18.01.2000;32.2;51.9;1.31;
19.01.2000;57.0;28.4;0.37;
20.01.2000;46.4;46.5;1.02;
21.01.2000;45.6;38.1;0.69;
22.01.2000;28.2;45.4;1.06;
23.01.2000;36.9;45.5;0.92;
24.01.2000;51.0;32.6;0.53;
25.01.2000;38.1;40.4;0.72;
26.01.2000;28.2;59.3;1.16;
27.01.2000;19.6;65.4;1.38;
28.01.2000;19.9;78.0;1.70;
29.01.2000;41.1;62.6;1.33;
30.01.2000;46.7;38.5;0.70;
31.01.2000;27.2;48.4;1.73;
01.02.2000;9.4;51.1;2.15;
02.02.2000;7.6;54.0;1.44;
03.02.2000;53.5;33.1;0.69;
04.02.2000;49.1;50.0;1.50;
05.02.2000;18.9;60.4;1.70;
06.02.2000;37.7;58.4;1.91;
07.02.2000;49.8;55.9;1.13;
08.02.2000;62.3;48.1;1.05;
09.02.2000;71.9;47.3;0.85;
10.02.2000;38.0;54.4;1.25;
11.02.2000;41.1;42.1;0.84;
12.02.2000;26.3;40.0;0.94;
13.02.2000;29.2;40.4;0.89;
14.02.2000;18.0;53.2;1.18;
15.02.2000;38.0;51.9;1.12;
16.02.2000;64.0;39.5;0.83;
17.02.2000;65.6;47.0;0.98;
18.02.2000;34.4;52.3;1.11;
19.02.2000;63.6;37.9;0.81;
20.02.2000;59.6;23.9;0.49;
21.02.2000;65.0;34.1;0.71;
22.02.2000;53.0;55.4;1.12;
23.02.2000;47.0;61.9;1.32;
24.02.2000;33.5;68.3;1.42;
25.02.2000;24.2;64.3;1.46;
26.02.2000;37.8;51.0;1.41;
27.02.2000;66.9;51.7;1.44;
28.02.2000;64.0;55.5;1.12;
29.02.2000;77.3;49.6;0.98;
01.03.2000;79.7;47.4;0.95;
02.03.2000;62.4;47.3;0.95;
03.03.2000;41.9;53.5;1.07;
04.03.2000;71.5;27.2;0.52;
05.03.2000;78.8;19.9;0.37;
06.03.2000;59.5;58.4;1.31;
07.03.2000;64.5;65.4;1.40;
08.03.2000;62.6;65.3;1.28;
09.03.2000;49.4;60.2;1.14;
10.03.2000;59.8;41.7;0.71;
11.03.2000;69.9;46.7;0.94;
12.03.2000;68.6;30.7;0.61;
13.03.2000;66.0;56.8;1.06;
14.03.2000;56.6;57.4;1.03;
15.03.2000;70.1;26.5;0.39;
16.03.2000;71.7;35.1;0.61;
17.03.2000;66.6;21.0;0.37;
18.03.2000;52.1;19.1;0.39;
19.03.2000;64.3;15.0;0.33;
20.03.2000;66.5;35.5;0.61;
21.03.2000;54.0;62.6;1.21;
22.03.2000;74.5;76.4;1.51;
23.03.2000;45.5;77.9;1.43;
24.03.2000;44.1;68.3;1.11;
25.03.2000;68.4;51.8;1.07;
26.03.2000;67.2;37.3;0.75;
27.03.2000;79.1;37.8;0.70;
28.03.2000;68.8;31.7;0.56;
29.03.2000;56.6;37.2;1.05;
30.03.2000;52.1;51.8;1.09;
31.03.2000;62.7;58.4;1.18;
01.04.2000;69.5;47.8;0.97;
02.04.2000;76.4;54.7;1.11;
03.04.2000;86.2;68.1;1.20;
04.04.2000;71.1;56.4;1.15;
05.04.2000;82.4;40.6;0.86;
06.04.2000;58.7;24.5;0.49;
07.04.2000;76.2;36.6;0.71;
08.04.2000;66.4;58.0;1.10;
09.04.2000;79.4;50.7;0.92;
10.04.2000;80.6;60.1;1.05;
11.04.2000;64.9;56.0;1.07;
12.04.2000;95.0;46.1;1.00;
13.04.2000;89.8;52.7;1.07;
14.04.2000;70.2;56.7;1.12;
15.04.2000;80.1;42.2;0.82;
16.04.2000;64.4;43.8;0.81;
17.04.2000;69.4;53.1;0.92;
18.04.2000;52.5;44.1;0.91;
19.04.2000;51.2;46.8;0.90;
20.04.2000;71.6;59.6;1.15;
21.04.2000;110.3;50.5;0.86;
22.04.2000;102.8;52.9;0.87;
23.04.2000;80.8;;0.58;
24.04.2000;77.0;;0.60;
25.04.2000;54.1;52.0;1.14;
26.04.2000;71.8;61.8;1.14;
27.04.2000;65.3;53.4;0.93;
28.04.2000;59.9;48.1;0.91;
29.04.2000;63.8;39.5;0.80;
30.04.2000;90.2;40.0;0.85;
01.05.2000;101.5;41.3;0.89;
02.05.2000;97.5;47.7;0.95;
03.05.2000;79.8;49.6;0.94;
04.05.2000;78.5;46.9;0.81;
05.05.2000;69.3;47.7;0.80;
06.05.2000;49.7;44.2;0.88;
07.05.2000;97.4;39.4;0.81;
08.05.2000;95.4;43.7;0.70;
09.05.2000;85.1;41.8;0.74;
10.05.2000;98.9;43.5;0.83;
11.05.2000;80.7;42.9;0.72;
12.05.2000;68.4;33.9;0.60;
13.05.2000;95.2;29.1;0.56;
14.05.2000;84.1;36.5;0.70;
15.05.2000;101.2;50.0;0.81;
16.05.2000;113.6;50.6;0.85;
17.05.2000;132.1;46.8;0.74;
18.05.2000;74.9;37.7;0.81;
19.05.2000;79.0;37.4;0.84;
20.05.2000;81.8;34.0;0.65;
21.05.2000;88.0;25.6;0.56;
22.05.2000;82.8;31.5;0.58;
23.05.2000;84.4;48.7;0.83;
24.05.2000;83.2;56.3;0.93;
25.05.2000;62.5;60.7;0.90;
26.05.2000;78.5;47.2;0.92;
27.05.2000;75.9;38.8;0.67;
28.05.2000;72.3;36.1;0.74;
29.05.2000;67.8;40.4;0.77;
30.05.2000;64.7;44.3;0.97;
31.05.2000;61.6;40.4;0.90;
01.06.2000;81.6;43.2;0.84;
02.06.2000;112.1;62.1;1.03;
03.06.2000;131.4;48.2;0.81;
04.06.2000;101.4;35.3;0.57;
05.06.2000;85.1;45.8;0.76;
06.06.2000;61.1;30.9;0.44;
07.06.2000;93.8;22.1;0.39;
08.06.2000;100.3;64.0;1.03;
09.06.2000;99.2;64.1;1.04;
10.06.2000;112.6;26.9;0.45;
11.06.2000;64.8;23.8;0.47;
12.06.2000;82.0;12.1;0.30;
13.06.2000;77.4;46.2;0.90;
14.06.2000;106.2;42.6;0.67;
15.06.2000;62.1;33.6;0.57;
16.06.2000;118.2;24.5;0.42;
17.06.2000;131.9;21.8;0.37;
18.06.2000;129.0;40.1;0.64;
19.06.2000;107.4;65.2;0.98;
20.06.2000;125.9;59.9;0.84;
21.06.2000;132.8;57.1;0.84;
22.06.2000;108.0;51.5;0.79;
23.06.2000;78.8;38.9;0.62;
24.06.2000;62.5;29.8;0.51;
25.06.2000;72.7;19.1;0.36;
26.06.2000;96.7;29.8;0.50;
27.06.2000;104.3;52.5;0.79;
28.06.2000;84.1;50.8;0.92;
29.06.2000;103.6;50.4;0.74;
30.06.2000;107.1;61.5;1.03;
01.07.2000;110.8;61.1;1.00;
02.07.2000;112.0;40.6;0.73;
03.07.2000;93.1;34.2;0.49;
04.07.2000;85.8;40.9;0.73;
05.07.2000;61.5;42.5;0.78;
06.07.2000;87.9;60.7;0.88;
07.07.2000;83.2;55.7;0.88;
08.07.2000;83.6;29.1;0.44;
09.07.2000;66.8;34.1;0.65;
10.07.2000;51.6;37.0;0.80;
11.07.2000;55.6;41.0;0.84;
12.07.2000;43.9;37.0;0.65;
13.07.2000;56.1;45.8;0.81;
14.07.2000;44.1;44.0;0.88;
15.07.2000;53.1;37.8;0.67;
16.07.2000;57.7;25.0;0.43;
17.07.2000;75.5;32.2;0.63;
18.07.2000;81.3;42.2;0.71;
19.07.2000;111.3;29.6;0.45;
20.07.2000;96.6;23.5;0.37;
21.07.2000;124.3;41.2;0.60;
22.07.2000;120.5;51.0;0.73;
23.07.2000;118.7;40.3;0.64;
24.07.2000;61.6;45.6;0.77;
25.07.2000;70.3;41.1;0.76;
26.07.2000;71.8;47.2;0.75;
27.07.2000;77.9;53.0;0.83;
28.07.2000;55.2;39.3;0.63;
29.07.2000;64.3;30.2;0.53;
30.07.2000;70.3;24.8;0.42;
31.07.2000;73.3;46.1;0.71;
01.08.2000;129.9;46.9;0.73;
02.08.2000;73.0;52.3;0.74;
03.08.2000;69.3;41.2;0.70;
04.08.2000;74.5;33.7;0.49;
05.08.2000;74.9;17.6;0.28;
06.08.2000;90.3;30.2;0.51;
07.08.2000;84.2;34.1;0.56;
08.08.2000;78.5;46.3;0.72;
09.08.2000;86.1;43.9;0.69;
10.08.2000;86.4;49.6;0.79;
11.08.2000;90.2;54.4;0.85;
12.08.2000;114.2;50.0;0.73;
13.08.2000;131.1;46.8;0.70;
14.08.2000;97.9;53.5;0.78;
15.08.2000;77.9;43.9;0.71;
16.08.2000;85.0;47.4;0.81;
17.08.2000;107.2;49.6;0.71;
18.08.2000;111.9;55.1;0.87;
19.08.2000;111.6;60.1;0.92;
20.08.2000;120.8;50.5;0.83;
21.08.2000;95.1;34.0;0.50;
22.08.2000;71.6;41.8;0.74;
23.08.2000;101.1;50.6;0.82;
24.08.2000;120.4;66.3;1.09;
25.08.2000;144.1;72.5;1.08;
26.08.2000;119.4;51.2;0.78;
27.08.2000;98.1;29.2;0.46;
28.08.2000;67.7;40.8;0.68;
29.08.2000;75.4;47.7;0.83;
30.08.2000;55.0;53.2;0.84;
31.08.2000;47.9;53.5;0.88;
01.09.2000;83.5;47.6;0.90;
02.09.2000;66.3;32.3;0.68;
03.09.2000;57.4;27.8;0.53;
04.09.2000;67.7;25.8;0.41;
05.09.2000;71.0;40.0;0.67;
06.09.2000;76.7;50.0;0.89;
07.09.2000;79.6;38.7;0.63;
08.09.2000;71.6;36.1;0.65;
09.09.2000;96.9;51.7;0.91;
10.09.2000;106.8;49.4;0.86;
11.09.2000;98.7;61.3;1.03;
12.09.2000;100.3;64.5;1.06;
13.09.2000;89.1;52.8;0.82;
14.09.2000;95.6;64.7;1.11;
15.09.2000;100.4;74.1;1.22;
16.09.2000;89.2;35.7;0.66;
17.09.2000;72.1;33.8;0.63;
18.09.2000;74.4;35.4;0.62;
19.09.2000;63.9;55.7;0.95;
20.09.2000;64.9;46.3;0.72;
21.09.2000;61.7;44.7;0.90;
22.09.2000;63.4;38.4;0.72;
23.09.2000;63.9;41.3;0.79;
24.09.2000;94.0;47.7;0.96;
25.09.2000;75.9;58.2;1.02;
26.09.2000;94.9;63.7;1.15;
27.09.2000;73.1;59.9;1.12;
28.09.2000;;60.2;1.15;
29.09.2000;60.2;58.0;1.14;
30.09.2000;68.8;42.9;0.71;
01.10.2000;65.5;28.1;0.53;
02.10.2000;49.6;36.3;0.75;
03.10.2000;49.0;22.4;0.35;
04.10.2000;36.1;34.3;0.80;
05.10.2000;31.1;41.7;0.89;
06.10.2000;54.5;30.5;0.36;
07.10.2000;64.9;28.4;0.43;
08.10.2000;55.9;37.2;0.67;
09.10.2000;52.0;47.0;0.97;
10.10.2000;65.0;46.3;0.99;
11.10.2000;66.1;46.2;1.01;
12.10.2000;;;;
13.10.2000;60.6;38.0;0.67;
14.10.2000;20.5;26.3;0.81;
15.10.2000;48.6;24.3;0.65;
16.10.2000;53.4;41.9;0.88;
17.10.2000;47.9;32.9;0.65;
18.10.2000;37.7;45.1;0.98;
19.10.2000;20.6;48.3;1.16;
20.10.2000;14.4;48.7;1.33;
21.10.2000;23.4;47.3;1.21;
22.10.2000;42.1;44.9;0.99;
23.10.2000;42.3;51.4;1.09;
24.10.2000;25.9;56.3;1.32;
25.10.2000;37.4;54.6;1.21;
26.10.2000;59.5;48.9;0.98;
27.10.2000;51.3;47.0;1.08;
28.10.2000;42.7;45.7;1.17;
29.10.2000;53.3;39.3;0.76;
30.10.2000;51.2;41.2;0.94;
31.10.2000;78.4;49.9;0.89;
01.11.2000;43.8;41.3;0.97;
02.11.2000;51.2;47.0;1.07;
03.11.2000;39.7;51.3;1.03;
04.11.2000;54.9;37.9;0.83;
05.11.2000;46.7;35.7;0.87;
06.11.2000;46.2;49.4;1.10;
07.11.2000;64.5;38.3;1.07;
08.11.2000;60.4;37.0;0.88;
09.11.2000;53.1;41.6;0.90;
10.11.2000;38.5;49.1;1.14;
11.11.2000;47.0;47.6;1.48;
12.11.2000;36.2;50.1;1.50;
13.11.2000;47.4;52.7;1.15;
14.11.2000;63.3;48.6;0.91;
15.11.2000;35.5;47.0;1.15;
16.11.2000;13.4;45.9;1.09;
17.11.2000;40.5;47.1;0.79;
18.11.2000;45.8;42.7;0.91;
19.11.2000;51.5;43.2;0.93;
