Date/heure;O3;NO2;SO2;CO;PM10
01.01.2000;56.8;50.3;20.7;0.96;
02.01.2000;37.2;52.8;22.4;1.08;
03.01.2000;29.3;54.1;22.9;1.39;
04.01.2000;39.4;54.1;24.5;1.58;
05.01.2000;23.5;56.0;26.8;1.68;
06.01.2000;15.8;46.5;23.9;1.22;
07.01.2000;25.4;50.3;25.4;1.51;
08.01.2000;32.7;50.5;23.8;1.26;
09.01.2000;21.0;51.1;23.8;1.26;
10.01.2000;18.7;57.3;23.7;1.50;
11.01.2000;24.2;73.5;25.4;1.55;
12.01.2000;12.1;75.3;21.8;1.48;
13.01.2000;9.0;81.3;26.5;1.15;
14.01.2000;21.2;60.6;22.8;1.36;
15.01.2000;51.6;52.3;23.9;1.20;
16.01.2000;50.0;49.2;22.0;0.89;
17.01.2000;52.7;54.8;21.9;1.13;
18.01.2000;73.2;20.1;4.9;0.27;
19.01.2000;69.0;39.0;8.7;0.53;
20.01.2000;39.6;65.3;24.8;1.30;
21.01.2000;72.7;40.4;16.7;0.87;
22.01.2000;42.8;56.4;18.6;0.80;
23.01.2000;68.4;33.1;11.5;0.59;
24.01.2000;54.0;49.9;19.7;0.99;
25.01.2000;58.3;42.7;14.5;0.51;
26.01.2000;38.0;59.3;19.5;1.07;
27.01.2000;33.8;66.5;24.5;1.30;
28.01.2000;41.1;70.3;27.6;1.45;
29.01.2000;13.6;71.4;29.9;1.46;
30.01.2000;71.2;36.6;20.7;0.67;
31.01.2000;18.2;64.0;28.1;1.70;
01.02.2000;25.4;74.4;21.7;1.24;
02.02.2000;15.7;67.9;21.4;1.37;
03.02.2000;63.0;55.6;15.3;1.23;
04.02.2000;49.3;68.1;21.0;1.21;
05.02.2000;43.5;64.7;21.1;1.28;
06.02.2000;47.4;63.4;19.6;1.30;
07.02.2000;61.3;69.3;21.3;1.52;
08.02.2000;52.3;64.2;18.2;1.30;
09.02.2000;74.2;41.0;10.3;0.82;
10.02.2000;70.7;50.9;15.0;0.85;
11.02.2000;22.9;64.9;21.5;1.16;
12.02.2000;69.5;56.4;19.2;1.02;
13.02.2000;70.6;53.8;20.2;0.82;
14.02.2000;52.8;75.8;23.1;1.49;
15.02.2000;73.3;81.1;24.6;1.36;
16.02.2000;49.7;77.0;17.4;1.14;
17.02.2000;73.8;35.5;7.9;0.53;
18.02.2000;63.5;49.5;16.8;0.95;
