Date/heure;O3;NO2;SO2;CO;PM10
01.01.2000;45.6;22.1;2.9;0.47;
02.01.2000;53.1;19.0;2.0;0.46;
03.01.2000;50.1;22.7;2.0;0.36;
04.01.2000;32.4;33.3;1.9;0.52;
05.01.2000;56.7;38.0;2.7;0.52;
06.01.2000;42.2;31.8;1.6;0.45;
07.01.2000;38.2;29.7;1.4;0.47;
08.01.2000;43.6;38.3;1.8;0.64;
09.01.2000;22.9;35.8;2.6;0.71;
10.01.2000;25.7;32.0;2.6;0.57;
11.01.2000;10.8;37.9;2.2;0.49;
12.01.2000;44.1;29.4;1.5;0.49;
13.01.2000;;34.1;1.8;0.53;
14.01.2000;45.7;40.7;2.8;0.72;
15.01.2000;27.6;47.1;1.9;0.65;
16.01.2000;50.8;23.0;2.6;0.42;
17.01.2000;43.9;33.4;3.5;0.52;
18.01.2000;46.9;31.7;2.8;0.43;
19.01.2000;72.0;21.2;2.7;0.32;
20.01.2000;57.7;34.9;3.1;0.48;
21.01.2000;58.2;31.9;2.6;0.45;
22.01.2000;53.6;18.6;2.5;0.34;
23.01.2000;61.5;13.6;2.1;0.28;
24.01.2000;73.2;17.2;3.8;0.34;
25.01.2000;52.7;30.9;5.3;0.50;
26.01.2000;54.2;42.9;3.2;0.73;
27.01.2000;55.2;41.7;2.2;0.66;
28.01.2000;40.2;53.5;2.8;0.79;
29.01.2000;79.7;23.6;2.9;0.32;
30.01.2000;73.2;11.1;1.8;0.21;
31.01.2000;63.1;25.7;2.0;0.34;
01.02.2000;22.9;30.7;1.8;0.56;
02.02.2000;28.2;33.5;4.9;0.75;
03.02.2000;75.1;23.7;2.1;0.36;
04.02.2000;64.0;31.1;2.2;0.47;
05.02.2000;69.2;29.5;2.5;0.67;
06.02.2000;50.1;33.3;4.1;0.64;
07.02.2000;71.8;20.6;3.2;0.32;
08.02.2000;72.7;15.7;1.7;0.24;
09.02.2000;87.9;10.4;1.4;0.23;
10.02.2000;63.1;26.1;2.1;0.36;
