Date/heure;O3;NO2;SO2;CO;PM10
01.01.2000;83.8;3.0;0.4;0.16;
02.01.2000;82.0;4.9;0.5;0.18;
03.01.2000;89.7;5.6;0.5;0.19;
04.01.2000;91.2;4.1;0.7;0.16;
05.01.2000;81.8;3.8;0.4;0.14;
06.01.2000;88.5;3.5;0.5;0.15;
07.01.2000;87.1;3.5;1.4;0.14;
08.01.2000;84.4;4.6;1.1;0.18;
09.01.2000;85.9;2.9;0.6;0.15;
10.01.2000;84.2;20.9;0.9;0.37;
11.01.2000;26.8;34.5;1.3;0.50;
12.01.2000;18.3;22.9;0.6;0.36;
13.01.2000;88.7;6.2;0.6;0.19;
14.01.2000;91.9;3.6;0.7;0.18;
15.01.2000;75.7;41.1;1.0;0.58;
16.01.2000;53.6;26.8;0.7;0.45;
17.01.2000;80.8;8.3;0.9;0.24;
18.01.2000;68.5;10.5;1.0;0.21;
19.01.2000;77.5;11.5;1.2;0.22;
20.01.2000;77.1;10.5;1.3;0.25;
21.01.2000;73.4;7.2;1.3;0.21;
22.01.2000;72.1;6.1;0.9;0.20;
23.01.2000;73.0;7.1;1.2;0.22;
24.01.2000;58.5;17.5;3.2;0.34;
25.01.2000;59.2;21.0;3.9;0.39;
26.01.2000;98.3;6.9;1.2;0.21;
27.01.2000;;;;;
28.01.2000;;;;;
29.01.2000;97.3;5.2;0.9;0.17;
30.01.2000;80.5;5.1;0.4;0.16;
31.01.2000;75.3;7.5;0.5;0.16;
01.02.2000;79.2;4.6;0.4;0.12;
02.02.2000;79.7;7.2;0.8;0.16;
03.02.2000;70.5;11.2;1.3;0.24;
04.02.2000;91.8;6.7;0.7;0.22;
05.02.2000;98.5;4.3;0.7;0.18;
06.02.2000;89.5;4.1;0.6;0.14;
07.02.2000;94.4;9.8;1.5;0.22;
08.02.2000;90.7;6.9;0.4;0.16;
09.02.2000;87.2;5.8;0.5;0.18;
10.02.2000;96.9;5.8;0.6;0.19;
11.02.2000;87.3;14.9;0.7;0.25;
12.02.2000;65.0;12.1;0.6;0.29;
13.02.2000;84.9;4.6;0.3;0.19;
14.02.2000;81.4;7.4;0.3;0.20;
15.02.2000;97.9;8.2;0.5;0.20;
16.02.2000;89.0;5.8;0.3;0.18;
17.02.2000;85.9;6.0;0.6;0.20;
18.02.2000;85.6;5.4;0.4;0.19;
19.02.2000;88.6;4.7;0.3;0.18;
20.02.2000;67.7;6.9;1.0;0.25;
21.02.2000;92.2;5.5;1.2;0.23;
22.02.2000;94.8;7.6;1.1;0.23;
23.02.2000;101.8;8.1;1.8;0.26;
24.02.2000;101.9;4.5;0.7;0.20;
25.02.2000;86.9;6.8;0.4;0.19;
26.02.2000;84.5;6.7;0.3;0.20;
27.02.2000;107.7;4.4;0.3;0.18;
28.02.2000;106.3;7.4;0.9;0.21;
29.02.2000;90.8;10.4;1.0;0.26;
01.03.2000;94.1;6.6;0.2;0.21;
02.03.2000;93.2;6.0;1.5;0.21;
03.03.2000;99.5;5.3;1.3;0.20;
04.03.2000;86.5;5.4;1.1;0.21;
05.03.2000;96.0;3.8;1.8;0.22;
06.03.2000;105.6;7.7;1.6;0.26;
07.03.2000;121.8;9.9;2.4;0.28;
08.03.2000;108.2;7.7;1.7;0.23;
09.03.2000;87.1;5.9;0.5;0.15;
10.03.2000;79.7;9.0;0.5;0.19;
11.03.2000;79.6;7.2;0.6;0.20;
12.03.2000;93.5;8.2;0.9;0.23;
13.03.2000;101.9;10.6;1.2;0.29;
14.03.2000;96.1;9.7;1.1;0.24;
15.03.2000;84.9;9.2;0.9;0.21;
16.03.2000;;;;;
17.03.2000;90.3;8.4;0.2;0.20;
18.03.2000;67.3;10.3;0.4;0.22;
19.03.2000;78.3;7.3;0.3;0.22;
20.03.2000;94.5;9.5;0.8;0.25;
21.03.2000;111.1;11.5;1.5;0.31;
22.03.2000;123.8;9.9;1.2;0.28;
23.03.2000;124.0;11.7;1.4;0.27;
24.03.2000;110.3;11.1;1.1;0.25;
25.03.2000;114.0;8.1;0.5;0.23;
26.03.2000;99.6;5.3;0.2;0.19;
27.03.2000;96.4;5.8;0.1;0.20;
28.03.2000;88.5;9.7;0.3;0.25;
29.03.2000;64.6;15.4;0.5;0.31;
30.03.2000;102.6;8.4;0.4;0.27;
31.03.2000;125.4;5.7;0.8;0.23;
