Date/heure;O3;NO2;SO2;CO;PM10
01.01.2000;38.0;44.4;10.6;0.56;
02.01.2000;34.7;37.8;9.6;0.53;
03.01.2000;42.5;35.8;6.4;0.47;
04.01.2000;30.5;53.3;10.5;0.68;
05.01.2000;33.4;55.5;9.1;0.70;
06.01.2000;19.9;43.6;6.9;0.54;
07.01.2000;14.2;55.9;11.7;0.83;
08.01.2000;39.5;58.6;10.9;0.72;
09.01.2000;24.9;55.1;13.6;0.62;
10.01.2000;21.1;48.4;11.8;0.73;
11.01.2000;13.5;38.9;7.5;0.62;
12.01.2000;13.8;42.5;9.6;0.67;
13.01.2000;41.7;43.3;8.5;0.62;
14.01.2000;13.2;54.1;12.1;0.98;
15.01.2000;18.0;52.1;7.3;0.76;
16.01.2000;36.2;29.9;6.8;0.51;
17.01.2000;23.6;52.4;15.2;0.79;
18.01.2000;27.1;46.4;12.5;0.55;
19.01.2000;49.6;48.3;11.9;0.59;
20.01.2000;32.5;58.1;19.2;0.86;
21.01.2000;33.7;39.3;8.7;0.48;
22.01.2000;41.6;35.4;7.3;0.47;
23.01.2000;45.2;40.9;10.2;0.51;
24.01.2000;53.4;30.3;9.8;0.46;
25.01.2000;46.2;48.8;14.0;0.66;
26.01.2000;19.0;73.9;22.0;1.03;
27.01.2000;20.6;77.3;16.5;0.97;
28.01.2000;27.7;89.4;23.5;1.19;
29.01.2000;77.9;28.9;7.9;0.38;
30.01.2000;72.0;18.5;5.2;0.26;
31.01.2000;69.4;40.4;9.8;0.64;
01.02.2000;34.2;63.3;22.7;1.35;
02.02.2000;;;;;
03.02.2000;40.7;54.2;13.0;0.71;
04.02.2000;35.7;62.5;20.9;1.11;
05.02.2000;47.5;64.6;18.3;1.02;
06.02.2000;40.9;60.5;23.4;1.13;
07.02.2000;73.7;41.2;10.9;0.56;
08.02.2000;81.4;26.5;5.0;0.33;
09.02.2000;79.3;27.2;4.5;0.37;
10.02.2000;63.7;45.7;8.8;0.59;
11.02.2000;67.0;41.5;5.4;0.46;
12.02.2000;51.5;35.1;8.1;0.50;
13.02.2000;61.2;23.9;5.1;0.38;
14.02.2000;52.7;50.9;10.1;0.64;
15.02.2000;68.6;32.8;5.7;0.41;
16.02.2000;80.0;25.9;4.0;0.35;
17.02.2000;75.9;31.9;6.3;0.46;
18.02.2000;60.6;31.0;7.0;0.41;
19.02.2000;75.7;20.9;4.5;0.36;
20.02.2000;50.0;27.5;7.5;0.46;
21.02.2000;63.4;41.4;11.7;0.52;
22.02.2000;67.6;43.3;10.0;0.52;
23.02.2000;68.4;54.8;10.8;0.58;
24.02.2000;48.6;55.6;9.5;0.57;
25.02.2000;;;;;
26.02.2000;;;;;
27.02.2000;;;;;
28.02.2000;91.0;43.3;13.2;0.59;
29.02.2000;88.7;39.0;6.0;0.45;
01.03.2000;80.0;26.9;4.4;0.39;
02.03.2000;75.2;30.2;7.0;0.41;
03.03.2000;87.6;17.4;4.8;0.33;
04.03.2000;80.8;25.1;5.8;0.39;
05.03.2000;89.1;35.1;10.8;0.45;
06.03.2000;80.5;64.4;20.0;0.82;
07.03.2000;95.1;60.4;14.7;0.72;
08.03.2000;70.3;48.0;9.6;0.56;
09.03.2000;77.0;25.5;5.0;0.34;
10.03.2000;56.9;39.4;6.0;0.46;
11.03.2000;75.3;31.1;6.4;0.47;
12.03.2000;91.1;22.5;4.5;0.36;
13.03.2000;84.4;49.8;9.5;0.65;
14.03.2000;61.6;48.4;8.9;0.56;
15.03.2000;71.0;38.7;6.8;0.44;
16.03.2000;54.2;39.6;6.8;0.45;
17.03.2000;57.3;34.8;6.3;0.45;
18.03.2000;37.7;33.0;5.6;0.41;
19.03.2000;62.3;16.7;3.4;0.33;
20.03.2000;88.7;19.5;3.7;0.35;
21.03.2000;81.8;45.7;8.9;0.59;
22.03.2000;106.0;59.0;13.0;0.74;
23.03.2000;51.0;75.9;16.8;0.92;
24.03.2000;71.6;59.5;9.8;0.72;
25.03.2000;106.4;33.9;7.0;0.49;
26.03.2000;84.1;18.1;3.8;0.32;
27.03.2000;68.7;28.2;4.7;0.39;
28.03.2000;83.1;22.2;3.6;0.37;
29.03.2000;51.5;32.7;5.0;0.54;
30.03.2000;74.6;22.6;3.2;0.44;
31.03.2000;115.0;37.5;6.7;0.49;
01.04.2000;98.8;28.2;5.1;0.47;
02.04.2000;113.7;42.7;10.6;0.75;
03.04.2000;97.1;60.2;11.4;0.77;
04.04.2000;113.2;40.7;8.8;0.59;
05.04.2000;88.4;28.8;4.6;0.43;
06.04.2000;77.6;24.0;3.0;0.37;
07.04.2000;90.7;23.0;4.5;0.34;
08.04.2000;106.2;38.3;7.7;0.52;
09.04.2000;120.3;28.7;6.4;0.44;
10.04.2000;112.0;31.7;6.0;0.45;
11.04.2000;82.3;36.9;5.1;0.47;
12.04.2000;91.1;21.1;3.8;0.36;
13.04.2000;80.1;29.2;4.7;0.41;
14.04.2000;115.2;44.4;6.7;0.57;
15.04.2000;95.4;33.1;6.1;0.50;
16.04.2000;104.8;29.2;5.2;0.44;
17.04.2000;84.8;38.1;5.6;0.47;
18.04.2000;80.7;23.9;2.2;0.34;
19.04.2000;90.1;40.0;7.1;0.53;
20.04.2000;101.6;48.7;7.7;0.66;
21.04.2000;134.7;32.1;4.8;0.48;
22.04.2000;148.1;36.4;5.1;0.49;
23.04.2000;103.8;24.2;3.4;0.38;
24.04.2000;88.8;13.8;1.7;0.28;
25.04.2000;83.1;40.4;4.4;0.55;
26.04.2000;139.6;49.4;6.8;0.67;
27.04.2000;;61.7;6.6;0.73;
28.04.2000;95.0;44.3;5.1;0.56;
29.04.2000;69.2;22.5;2.8;0.47;
30.04.2000;100.1;27.6;3.5;0.52;
01.05.2000;110.3;23.5;2.7;0.58;
02.05.2000;110.2;30.2;2.3;0.45;
03.05.2000;112.2;34.3;3.1;0.45;
04.05.2000;116.6;24.7;1.9;0.36;
05.05.2000;126.7;31.3;2.0;0.40;
06.05.2000;117.0;30.9;2.9;0.49;
07.05.2000;126.2;30.1;2.6;0.47;
08.05.2000;124.8;31.7;2.5;0.42;
09.05.2000;107.2;40.5;2.7;0.54;
10.05.2000;136.0;50.7;4.2;0.60;
11.05.2000;148.3;41.1;4.0;0.51;
12.05.2000;94.4;21.9;1.2;0.32;
13.05.2000;115.9;23.7;1.5;0.41;
14.05.2000;125.8;20.8;1.8;0.38;
15.05.2000;147.7;43.7;3.9;0.53;
16.05.2000;153.9;36.7;2.9;0.46;
17.05.2000;120.2;23.5;1.9;0.34;
18.05.2000;74.7;32.8;1.6;0.37;
19.05.2000;92.4;19.1;1.6;0.32;
20.05.2000;103.4;15.6;1.4;0.32;
21.05.2000;108.2;18.0;2.7;0.34;
22.05.2000;84.3;19.1;2.1;0.31;
23.05.2000;115.2;34.0;2.5;0.41;
24.05.2000;135.8;46.0;4.0;0.50;
25.05.2000;78.4;38.7;3.5;0.46;
26.05.2000;112.0;25.9;2.4;0.37;
27.05.2000;90.8;19.6;1.7;0.33;
28.05.2000;79.9;23.2;2.5;0.42;
29.05.2000;72.7;32.9;2.9;0.37;
